Year,Unit,Category of E-waste,Value
2009,('000 tonnes),Total E-waste generated,12.83
2010,('000 tonnes),Total E-waste generated,13.56
2011,('000 tonnes),Total E-waste generated,14.36
2012,('000 tonnes),Total E-waste generated,14.98
2013,('000 tonnes),Total E-waste generated,15.56
2014,('000 tonnes),Total E-waste generated,16.12
2015,('000 tonnes),Total E-waste generated,16.67
2013,(Million Tonnes),Total exported,3550.8
2014,(Million Tonnes),Total exported,1738.0
2015,(Million Tonnes),Total exported,2472.3
2017,(Million Tonnes),Total exported,3495.0
