Year,Indicator,Name,Category,Unit,Value
2012,GDP (Current),(US$Mn),,,14790
2012,Remittance as a  proportion of GDP,,,,13.8
2013,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2013,GDP (Current),(US$Mn),,,14183
2013,Remittance as a  proportion of GDP,,,,14.6
2014,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2014,GDP (Current),(US$Mn),,,13852
2014,Remittance as a  proportion of GDP,,,,15.6
2015,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2015,GDP (Current),(US$Mn),,,14137
2015,Remittance as a  proportion of GDP,,,,15.7
2016,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2016,GDP (Current),(US$Mn),,,14074
2016,Remittance as a  proportion of GDP,,,,16.3
2017,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2017,GDP (Current),(US$Mn),,,14809
2017,Remittance as a  proportion of GDP,,,,15.6
2018,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2018,GDP (Current),(US$Mn),,,15728
2018,Remittance as a  proportion of GDP,,,,14.9
2019,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2019,GDP (Current),(US$Mn),,,15857.8
2019,Remittance as a  proportion of GDP,,,,15.2
2020,Remittance Inflows,(US$Mn),,,as a  proportion of GDP
2020,GDP (Current),(US$Mn),,,13835.6
2020,Remittance as a  proportion of GDP,,,,21
2009,Remittance as a  proportion of GDP,,,,14.8
2009,Remittance as a  proportion of GDP,,,,14.5
2009,Remittance as a  proportion of GDP,,,,14.1
2009,Remittance as a  proportion of GDP,,,,13.8
2009,Remittance as a  proportion of GDP,,,,14.6
2009,Remittance as a  proportion of GDP,,,,15.5
2009,Remittance as a  proportion of GDP,,,,15.7
2009,Remittance as a  proportion of GDP,,,,16.3
2009,Remittance as a  proportion of GDP,,,,15.6
2009,Remittance as a  proportion of GDP,,,,14.9
2009,,,Remittance Inflows,(US$Mn),1790
2009,,,GDP (Current),(US$Mn),12067
2009,,,Remittance as a  proportion of GDP,,14.8
2010,,,Remittance Inflows,(US$Mn),1906
2010,,,GDP (Current),(US$Mn),13199
2010,,,Remittance as a  proportion of GDP,,14.4
2011,,,Remittance Inflows,(US$Mn),2018
2011,,,GDP (Current),(US$Mn),14408
2011,,,Remittance as a  proportion of GDP,,14.0
2012,,,Remittance Inflows,(US$Mn),2042
2012,,,GDP (Current),(US$Mn),14790
2012,,,Remittance as a  proportion of GDP,,13.8
2013,,,Remittance Inflows,(US$Mn),2065
2013,,,GDP (Current),(US$Mn),14183
2013,,,Remittance as a  proportion of GDP,,14.6
2014,,,Remittance Inflows,(US$Mn),2157
2014,,,GDP (Current),(US$Mn),13852
2014,,,Remittance as a  proportion of GDP,,15.6
2015,,,Remittance Inflows,(US$Mn),2226
2015,,,GDP (Current),(US$Mn),14137
2015,,,Remittance as a  proportion of GDP,,15.7
2016,,,Remittance Inflows,(US$Mn),2292
2016,,,GDP (Current),(US$Mn),14074
2016,,,Remittance as a  proportion of GDP,,16.3
2017,,,Remittance Inflows,(US$Mn),2305.3
2017,,,GDP (Current),(US$Mn),14809
2017,,,Remittance as a  proportion of GDP,,15.6
2018,,,Remittance Inflows,(US$Mn),2345.8
2018,,,GDP (Current),(US$Mn),15728
2018,,,Remittance as a  proportion of GDP,,14.9
2019,,,Remittance Inflows,(US$Mn),2405.6
2019,,,GDP (Current),(US$Mn),15857.8
2019,,,Remittance as a  proportion of GDP,,15.2
2020,,,Remittance Inflows,(US$Mn),2905.6
2020,,,GDP (Current),(US$Mn),13835.6
2020,,,Remittance as a  proportion of GDP,,21.0
2021,,,Remittance Inflows,(US$Mn),3497.1
2021,,,GDP (Current),(US$Mn),14638.7
2021,,,Remittance as a  proportion of GDP,,23.9
