Year,Indicator for road traffic injuries,Unit,Geographical Region,Value
2016,Death rate due to road traffic injuries,per 100.000 population,Kingston,12.2
2017,Death rate due to road traffic injuries,per 100.000 population,Kingston,16.7
2018,Death rate due to road traffic injuries,per 100.000 population,Kingston,21.1
2019,Death rate due to road traffic injuries,per 100.000 population,Kingston,29.8
2016,Death rate due to road traffic injuries,per 100.000 population,St Andrew,8.9
2017,Death rate due to road traffic injuries,per 100.000 population,St Andrew,6.8
2018,Death rate due to road traffic injuries,per 100.000 population,St Andrew,7.9
2019,Death rate due to road traffic injuries,per 100.000 population,St Andrew,8.9
2016,Death rate due to road traffic injuries,per 100.000 population,St Thomas,6.4
2017,Death rate due to road traffic injuries,per 100.000 population,St Thomas,9.6
2018,Death rate due to road traffic injuries,per 100.000 population,St Thomas,2.1
2019,Death rate due to road traffic injuries,per 100.000 population,St Thomas,3.2
2016,Death rate due to road traffic injuries,per 100.000 population,Portland,14.8
2017,Death rate due to road traffic injuries,per 100.000 population,Portland,4.9
2018,Death rate due to road traffic injuries,per 100.000 population,Portland,6.2
2019,Death rate due to road traffic injuries,per 100.000 population,Portland,11.1
2016,Death rate due to road traffic injuries,per 100.000 population,St Mary,11.4
2017,Death rate due to road traffic injuries,per 100.000 population,St Mary,13.1
2018,Death rate due to road traffic injuries,per 100.000 population,St Mary,15.7
2019,Death rate due to road traffic injuries,per 100.000 population,St Mary,14.8
2016,Death rate due to road traffic injuries,per 100.000 population,St Ann,6.0
2017,Death rate due to road traffic injuries,per 100.000 population,St Ann,4.8
2018,Death rate due to road traffic injuries,per 100.000 population,St Ann,6.5
2019,Death rate due to road traffic injuries,per 100.000 population,St Ann,9.4
2016,Death rate due to road traffic injuries,per 100.000 population,Trelawny,22.0
2017,Death rate due to road traffic injuries,per 100.000 population,Trelawny,15.5
2018,Death rate due to road traffic injuries,per 100.000 population,Trelawny,24.4
2019,Death rate due to road traffic injuries,per 100.000 population,Trelawny,29.4
2016,Death rate due to road traffic injuries,per 100.000 population,St James,12.7
2017,Death rate due to road traffic injuries,per 100.000 population,St James,13.2
2018,Death rate due to road traffic injuries,per 100.000 population,St James,12.6
2019,Death rate due to road traffic injuries,per 100.000 population,St James,18.8
2016,Death rate due to road traffic injuries,per 100.000 population,Hanover,35.1
2017,Death rate due to road traffic injuries,per 100.000 population,Hanover,34.9
2018,Death rate due to road traffic injuries,per 100.000 population,Hanover,34.7
2019,Death rate due to road traffic injuries,per 100.000 population,Hanover,23.5
2016,Death rate due to road traffic injuries,per 100.000 population,Westmoreland,36.5
2017,Death rate due to road traffic injuries,per 100.000 population,Westmoreland,32.3
2018,Death rate due to road traffic injuries,per 100.000 population,Westmoreland,34.2
2019,Death rate due to road traffic injuries,per 100.000 population,Westmoreland,30.1
2016,Death rate due to road traffic injuries,per 100.000 population,St Elizabeth,23.1
2017,Death rate due to road traffic injuries,per 100.000 population,St Elizabeth,11.9
2018,Death rate due to road traffic injuries,per 100.000 population,St Elizabeth,15.8
2019,Death rate due to road traffic injuries,per 100.000 population,St Elizabeth,19.1
2016,Death rate due to road traffic injuries,per 100.000 population,Manchester,9.9
2017,Death rate due to road traffic injuries,per 100.000 population,Manchester,8.9
2018,Death rate due to road traffic injuries,per 100.000 population,Manchester,13.1
2019,Death rate due to road traffic injuries,per 100.000 population,Manchester,16.2
2016,Death rate due to road traffic injuries,per 100.000 population,Clarendon,6.9
2017,Death rate due to road traffic injuries,per 100.000 population,Clarendon,9.3
2018,Death rate due to road traffic injuries,per 100.000 population,Clarendon,8.9
2019,Death rate due to road traffic injuries,per 100.000 population,Clarendon,15.0
2016,Death rate due to road traffic injuries,per 100.000 population,St. Catherine,36.6
2017,Death rate due to road traffic injuries,per 100.000 population,St. Catherine,26.8
2018,Death rate due to road traffic injuries,per 100.000 population,St. Catherine,43.1
2019,Death rate due to road traffic injuries,per 100.000 population,St. Catherine,37.3
2019,Death rate due to road traffic injuries,per 100.000 population,Jamaica,16.1
2019,Death rate due to road traffic injuries,per 100.000 population,Jamaica,16.1
2010,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.8
2011,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.4
2012,Death rate due to road traffic injuries,per 100.000 population,Jamaica,9.6
2013,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.3
2014,Death rate due to road traffic injuries,per 100.000 population,Jamaica,12.2
2015,Death rate due to road traffic injuries,per 100.000 population,Jamaica,14.0
2016,Death rate due to road traffic injuries,per 100.000 population,Jamaica,13.9
2017,Death rate due to road traffic injuries,per 100.000 population,Jamaica,11.8
2018,Death rate due to road traffic injuries,per 100.000 population,Jamaica,14.3
