Year,Type of Toilet Facility,Geographical Region,Value
2018,Water Closet Linked to Central Sewer Network,Jamaica,19.1
2018,Water Closet Linked to Offsite Disposal System,Jamaica,4.5
2018,Water Closet Linked to Onsite Disposal System,Jamaica,57.9
2018,Pit Laterine,Jamaica,18.1
2018,Other,Jamaica,0.2
2018,Water Closet Linked to Central Sewer Network,Greater Kingston Metropolitan Area,49.1
2018,Water Closet Linked to Offsite Disposal System,Greater Kingston Metropolitan Area,7.6
2018,Water Closet Linked to Onsite Disposal System,Greater Kingston Metropolitan Area,35.1
2018,Pit Laterine,Greater Kingston Metropolitan Area,8.1
2018,Other,Greater Kingston Metropolitan Area,0.1
2018,Water Closet Linked to Central Sewer Network,Other Urban Centre,9.1
2018,Water Closet Linked to Offsite Disposal System,Other Urban Centre,2.3
2018,Water Closet Linked to Onsite Disposal System,Other Urban Centre,70.0
2018,Pit Laterine,Other Urban Centre,18.1
2018,Other,Other Urban Centre,0.1
2018,Water Closet Linked to Central Sewer Network,Rural Area,6.1
2018,Water Closet Linked to Offsite Disposal System,Rural Area,3.8
2018,Water Closet Linked to Onsite Disposal System,Rural Area,65.3
2018,Pit Laterine,Rural Area,24.4
2018,Other,Rural Area,0.2
2019,Water Closet Linked to Central Sewer Network,Jamaica,20.6
2019,Water Closet Linked to Offsite Disposal System,Jamaica,4.3
2019,Water Closet Linked to Onsite Disposal System,Jamaica,61.3
2019,Pit Laterine,Jamaica,13.9
2019,Other,Jamaica,0.0
2019,Water Closet Linked to Central Sewer Network,Greater Kingston Metropolitan Area,47.7
2019,Water Closet Linked to Offsite Disposal System,Greater Kingston Metropolitan Area,9.3
2019,Water Closet Linked to Onsite Disposal System,Greater Kingston Metropolitan Area,40.6
2019,Pit Laterine,Greater Kingston Metropolitan Area,2.4
2019,Other,Greater Kingston Metropolitan Area,0.0
2019,Water Closet Linked to Central Sewer Network,Other Urban Centre,13.9
2019,Water Closet Linked to Offsite Disposal System,Other Urban Centre,3.4
2019,Water Closet Linked to Onsite Disposal System,Other Urban Centre,68.8
2019,Pit Laterine,Other Urban Centre,13.9
2019,Other,Other Urban Centre,0.0
2019,Water Closet Linked to Central Sewer Network,Rural Area,3.6
2019,Water Closet Linked to Offsite Disposal System,Rural Area,1.0
2019,Water Closet Linked to Onsite Disposal System,Rural Area,73.0
2019,Pit Laterine,Rural Area,22.3
2019,Other,Rural Area,0.1
2015,Water Closet Linked to Central Sewer Network,Jamaica,20.4
2015,Water Closet Not Linked to Sewer,Jamaica,57.3
2015,Pit Laterine,Jamaica,21.9
2015,Other,Jamaica,0.0
2015,Water Closet Linked to Central Sewer Network,Greater Kingston Metropolitan Area,55.4
2015,Water Closet Not Linked to Sewer,Greater Kingston Metropolitan Area,38.3
2015,Pit Laterine,Greater Kingston Metropolitan Area,6.3
2015,Other,Greater Kingston Metropolitan Area,0.0
2015,Water Closet Linked to Central Sewer Network,Other Urban Centre,7.9
2015,Water Closet Not Linked to Sewer,Other Urban Centre,76.2
2015,Pit Laterine,Other Urban Centre,15.9
2015,Other,Other Urban Centre,0.0
2015,Water Closet Linked to Central Sewer Network,Rural Area,2.5
2015,Water Closet Not Linked to Sewer,Rural Area,61.9
2015,Pit Laterine,Rural Area,34.9
2015,Other,Rural Area,0.7
2016,Water Closet Linked to Central Sewer Network,Jamaica,22.1
2016,Water Closet Not Linked to Sewer,Jamaica,60.4
2016,Pit Laterine,Jamaica,17.3
2016,Other,Jamaica,0.1
2016,Water Closet Linked to Central Sewer Network,Greater Kingston Metropolitan Area,56.0
2016,Water Closet Not Linked to Sewer,Greater Kingston Metropolitan Area,37.2
2016,Pit Laterine,Greater Kingston Metropolitan Area,6.8
2016,Other,Greater Kingston Metropolitan Area,0.0
2016,Water Closet Linked to Central Sewer Network,Other Urban Centre,13.4
2016,Water Closet Not Linked to Sewer,Other Urban Centre,70.6
2016,Pit Laterine,Other Urban Centre,15.9
2016,Other,Other Urban Centre,0.1
2016,Water Closet Linked to Central Sewer Network,Rural Area,5.5
2016,Water Closet Not Linked to Sewer,Rural Area,69.8
2016,Pit Laterine,Rural Area,24.5
2016,Other,Rural Area,0.2
2017,Water Closet Linked to Central Sewer Network,Jamaica,19.1
2017,Water Closet Linked to Offsite Disposal System,Jamaica,6.7
2017,Water Closet Linked to Onsite Disposal System,Jamaica,56.1
2017,Pit Laterine,Jamaica,18.0
2017,Other,Jamaica,0.2
2017,Water Closet Linked to Central Sewer Network,Greater Kingston Metropolitan Area,47.9
2017,Water Closet Linked to Offsite Disposal System,Greater Kingston Metropolitan Area,5.5
2017,Water Closet Linked to Onsite Disposal System,Greater Kingston Metropolitan Area,40.8
2017,Pit Laterine,Greater Kingston Metropolitan Area,5.6
2017,Other,Greater Kingston Metropolitan Area,0.2
2017,Water Closet Linked to Central Sewer Network,Other Urban Centre,10.2
2017,Water Closet Linked to Offsite Disposal System,Other Urban Centre,8.8
2017,Water Closet Linked to Onsite Disposal System,Other Urban Centre,55.9
2017,Pit Laterine,Other Urban Centre,13.5
2017,Other,Other Urban Centre,0.3
2017,Water Closet Linked to Central Sewer Network,Rural Area,5.7
2017,Water Closet Linked to Offsite Disposal System,Rural Area,6.3
2017,Water Closet Linked to Onsite Disposal System,Rural Area,63.0
2017,Pit Laterine,Rural Area,25.0
2017,Other,Rural Area,0.1
