Year,Event,Units,Value
2004,Hurricane Ivan,Persons Affected Per 100000 population,14009.0
2004,Hurricane Ivan,Persons Dead per 100000 population,0.644
2004,Hurricane Ivan,Persons Injured per 100000 population,0.0
2004,Hurricane Ivan,Persons Missing per 100000 population,0.0
2005,Hurricane Dennis and Emily,Persons Affected Per 100000 population,12521.0
2005,Hurricane Dennis and Emily,Persons Dead per 100000 population,0.264
2005,Hurricane Dennis and Emily,Persons Injured per 100000 population,0.0
2005,Hurricane Dennis and Emily,Persons Missing per 100000 population,0.0
2005,Hurricane Wilma,Persons Affected Per 100000 population,13669.0
2005,Hurricane Wilma,Persons Dead per 100000 population,0.113
2005,Hurricane Wilma,Persons Injured per 100000 population,0.0
2005,Hurricane Wilma,Persons Missing per 100000 population,0.0
2007,Hurricane Dean,Persons Affected Per 100000 population,6744.0
2007,Hurricane Dean,Persons Dead per 100000 population,0.225
2007,Hurricane Dean,Persons Injured per 100000 population,0.0
2007,Hurricane Dean,Persons Missing per 100000 population,0.0
2012,Hurricane Sandy,Persons Affected Per 100000 population,25150.0
2012,Hurricane Sandy,Persons Dead per 100000 population,0.074
2012,Hurricane Sandy,Persons Injured per 100000 population,0.0
2012,Hurricane Sandy,Persons Missing per 100000 population,0.0
2001,Hurricane Michelle,Cost ($JB),2.52
2001,Hurricane Michelle,Impact (% GDP),0.8
2004,Hurricane Charley,Cost ($JB),0.44
2004,Hurricane Charley,Impact (% GDP),0.02
2004,Hurricane Ivan,Cost ($JB),36.9
2004,Hurricane Ivan,Impact (% GDP),8.0
2005,Hurricanes Dennis and Emily,Cost ($JB),5.98
2005,Hurricane Dennis and Emily,Impact (% GDP),1.2
2005,Hurricane Wilma,Cost ($JB),3.6
2005,Hurricane Wilma,Impact (% GDP),0.7
2007,Hurricane Dean,Cost ($JB),23.8
2007,Hurricane Dean,Impact (% GDP),3.4
2012,Hurricane Sandy,Cost ($JB),9.9
2012,Hurricane Sandy,Impact (% GDP),0.8
