Year,Kapos mountain class,Ipcc class,Unit,Category,Value
2000,k1,Forest,(%),,0.0
2000,k1,Cropland,(%),,0.0
2000,k1,Grassland,(%),,0.0
2000,k1,Wetland,(%),,0.0
2000,k1,Settlement,(%),,0.0
2000,k1,Other Land,(%),,0.0
2000,k1,MGCI,(%),,0.0
2000,,MGCI All,(%),,98.81
2000,k2,Forest,(%),,0.0
2000,k2,Cropland,(%),,0.0
2000,k2,Grassland,(%),,0.0
2000,k2,Wetland,(%),,0.0
2000,k2,Settlement,(%),,0.0
2000,k2,Other Land,(%),,0.0
2000,k2,MGCI,(%),,0.0
2000,k3,Forest,(%),,0.0
2000,k3,Cropland,(%),,0.0
2000,k3,Grassland,(%),,0.0
2000,k3,Wetland,(%),,0.0
2000,k3,Settlement,(%),,0.0
2000,k3,Other Land,(%),,0.0
2000,k3,MGCI,(%),,0.0
2000,k4,Forest,(%),,94.34
2000,k4,Cropland,(%),,5.66
2000,k4,Grassland,(%),,0.0
2000,k4,Wetland,(%),,0.0
2000,k4,Settlement,(%),,0.0
2000,k4,Other Land,(%),,0.0
2000,k4,MGCI,(%),,100.0
2000,k5,Forest,(%),,75.7
2000,k5,Cropland,(%),,24.16
2000,k5,Grassland,(%),,0.0
2000,k5,Wetland,(%),,0.0
2000,k5,Settlement,(%),,0.13
2000,k5,Other Land,(%),,0.01
2000,k5,MGC,(%),,99.87
2010,k1,Forest,(%),,0.0
2010,k1,Cropland,(%),,0.0
2010,k1,Grassland,(%),,0.0
2010,k1,Wetland,(%),,0.0
2010,k1,Settlement,(%),,0.0
2010,k1,Other Land,(%),,0.0
2010,k1,MGCI,(%),,0.0
2010,,MGCI All,(%),,97.75
2010,k2,Forest,(%),,0.0
2010,k2,Cropland,(%),,0.0
2010,k2,Grassland,(%),,0.0
2010,k2,Wetland,(%),,0.0
2010,k2,Settlement,(%),,0.0
2010,k2,Other Land,(%),,0.0
2010,k2,MGCI,(%),,0.0
2010,k3,Forest,(%),,0.0
2010,k3,Cropland,(%),,0.0
2010,k3,Grassland,(%),,0.0
2010,k3,Wetland,(%),,0.0
2010,k3,Settlement,(%),,0.0
2010,k3,Other Land,(%),,0.0
2010,k3,MGCI,(%),,0.0
2010,k4,Forest,(%),,95.68
2010,k4,Cropland,(%),,4.32
2010,k4,Grassland,(%),,0.0
2010,k4,Wetland,(%),,0.0
2010,k4,Settlement,(%),,0.0
2010,k4,Other Land,(%),,0.0
2010,k4,MGCI,(%),,100.0
2010,k5,Forest,(%),,75.24
2010,k5,Cropland,(%),,23.96
2010,k5,Grassland,(%),,0.0
2010,k5,Wetland,(%),,0.0
2010,k5,Settlement,(%),,0.76
2010,k5,Other Land,(%),,0.04
2010,k5,MGC,(%),,99.21
2015,k1,Forest,(%),,0.0
2015,k1,Cropland,(%),,0.0
2015,k1,Grassland,(%),,0.0
2015,k1,Wetland,(%),,0.0
2015,k1,Settlement,(%),,0.0
2015,k1,Other Land,(%),,0.0
2015,k1,MGCI,(%),,0.0
2015,,MGCI All,(%),,97.21
2015,k2,Forest,(%),,0.0
2015,k2,Cropland,(%),,0.0
2015,k2,Grassland,(%),,0.0
2015,k2,Wetland,(%),,0.0
2015,k2,Settlement,(%),,0.0
2015,k2,Other Land,(%),,0.0
2015,k2,MGCI,(%),,0.0
2015,k3,Forest,(%),,0.0
2015,k3,Cropland,(%),,0.0
2015,k3,Grassland,(%),,0.0
