Year,Geographical Region,Value
2010,Jamaica,83.7
2010,Rural,72.5
2010,Greater Kingston Metropolitan Area,94.3
2010,Other Urban Centres,87.9
2012,Jamaica,79.8
2012,Rural,71.3
2012,Greater Kingston Metropolitan Area,90.5
2012,Other Urban Centres,83.3
2013,Jamaica,83.8
2013,Rural,75.4
2013,Greater Kingston Metropolitan Area,94.2
2013,Other Urban Centres,87.3
2014,Jamaica,81.1
2014,Rural,73.0
2014,Greater Kingston Metropolitan Area,89.9
2014,Other Urban Centres,85.1
2015,Jamaica,83.0
2015,Rural,75.6
2015,Greater Kingston Metropolitan Area,92.0
2015,Other Urban Centres,86.3
2016,Jamaica,84.5
2016,Rural,80.7
2016,Greater Kingston Metropolitan Area,91.0
2016,Other Urban Centres,84.4
2017,Jamaica,86.1
2017,Rural,83.1
2017,Greater Kingston Metropolitan Area,92.6
2017,Other Urban Centres,83.9
