Year,Source of primary energy supply,Unit,Value
2011,Petroleum,('000boe),19807.0
2011,Hydropower,('000boe),94.0
2011,Wind,('000boe),57.0
2011,Coal,('000boe),327.0
2011,Bagasse,('000boe),579.0
2011,Total Alternative Energy,('000boe),1057.0
2011,Total,('000boe),20864.0
2011,% Renewable Share,per cent,5.1
2012,Petroleum,('000boe),19280.0
2012,Hydropower,('000boe),93.0
2012,Wind,('000boe),67.0
2012,Coal,('000boe),284.0
2012,Bagasse,('000boe),570.0
2012,Total Alternative Energy,('000boe),1014.0
2012,Total,('000boe),20294.0
2012,% Renewable Share,per cent,5.0
2013,Petroleum,('000boe),19239.0
2013,Hydropower,('000boe),77.0
2013,Wind,('000boe),71.0
2013,Coal,('000boe),450.0
2013,Bagasse,('000boe),626.0
2013,Total Alternative Energy,('000boe),1224.0
2013,Total,('000boe),20463.0
2013,% Renewable Share,per cent,6.0
2014,Petroleum,('000boe),18861.0
2014,Hydropower,('000boe),84.0
2014,Wind,('000boe),74.0
2014,Coal,('000boe),574.0
2014,Bagasse,('000boe),677.0
2014,Total Alternative Energy,('000boe),1409.0
2014,Total,('000boe),20270.0
2014,% Renewable Share,per cent,7.0
2015,Petroleum,('000boe),19166.0
2015,Hydropower,('000boe),80.0
2015,Wind,('000boe),78.0
2015,Coal,('000boe),511.0
2015,Bagasse,('000boe),621.0
2015,Total Alternative Energy,('000boe),1290.0
2015,Total,('000boe),20456.0
2015,% Renewable Share,per cent,6.3
2016,Petroleum,('000boe),20085.0
2016,Hydropower,('000boe),74.0
2016,Wind,('000boe),128.0
2016,Coal,('000boe),491.0
2016,Bagasse,('000boe),487.0
2016,Natural Gas,('000boe),0.0
2016,Solar,('000 boe),9.0
2016,Total Alternative Energy,('000 boe),1189.0
2016,Total,('000 boe),21274.0
2016,% Renewable Share,per cent,5.6
2017,Petroleum,('000 boe),18546.0
2017,Hydropower,('000 boe),96.0
2017,Wind,('000 boe),179.0
2017,Coal,('000 boe),425.0
2017,Bagasse,('000 boe),334.0
2017,Natural Gas,('000 boe),508.0
2017,Solar,('000 boe),27.0
2017,Total Alternative Energy,('000 boe),1569.0
2017,Total,('000 boe),20115.0
2017,% Renewable Share,per cent,7.8
2018,Petroleum,('000 boe),19986.0
2018,Hydropower,('000 boe),111.0
2018,Wind,('000 boe),187.0
2018,Coal,('000 boe),398.0
2018,Bagasse,('000 boe),265.0
2018,Natural Gas,('000 boe),587.0
2018,Solar,('000 boe),28.0
2018,Total Alternative Energy,('000 boe),1576.0
2018,Total,('000 boe),21562.0
2018,% Renewable Share,per cent,7.3
2019,Petroleum,('000 boe),20740.0
2019,Hydropower,('000 boe),96.0
2019,Wind,('000 boe),169.0
2019,Coal,('000 boe),427.0
2019,Bagasse,('000 boe),325.0
2019,Natural Gas,('000 boe),713.0
2019,Solar,('000 boe),56.0
2019,Total Alternative Energy,('000 boe),1786.0
2019,Total,('000 boe),22526.0
2019,% Renewable Share,per cent,7.9
2020,Petroleum,('000 boe),15806.0
2020,Hydropower,('000 boe),84.0
2020,Wind,('000 boe),174.0
2020,Coal,('000 boe),457.0
2020,Bagasse,('000 boe),266.0
2020,Natural Gas,('000 boe),1537.0
2020,Solar,('000 boe),77.0
2020,Total Alternative Energy,('000 boe),2595.0
2020,Total,('000 boe),18401.0
2020,% Renewable Share,('000 boe),14.1
2019,Petroleum,('000 boe),20740.0
2019,Hydropower,('000 boe),96.0
2019,Wind,('000 boe),169.0
2019,Coal,('000 boe),427.0
2019,Bagasse,('000 boe),325.0
2019,Natural Gas,('000 boe),713.0
2019,Solar,('000 boe),56.0
2019,Total Alternative Energy,('000 boe),1786.0
2019,Total,('000 boe),22526.0
2019,% Renewable Share,per cent,7.9
2020,Petroleum,('000 boe),15806.0
2020,Hydropower,('000 boe),84.0
2020,Wind,('000 boe),174.0
2020,Coal,('000 boe),457.0
2020,Bagasse,('000 boe),266.0
2020,Natural Gas,('000 boe),1537.0
2020,Solar,('000 boe),77.0
2020,Total Alternative Energy,('000 boe),2595.0
2020,Total,('000 boe),18401.0
2020,% Renewable Share,('000 boe),14.1
2011,Petroleum,,19807.0
2011,Hydropower,,94.0
2011,Wind,,57.0
2011,Coal,,327.0
2011,Bagasse,,579.0
2011,Fuelwood,,0.0
2011,Total Alternative Energy,,1057.0
2011,Total,,20864.0
2011,% Renewable Share,,5.1
2012,Petroleum,,19280.0
2012,Hydropower,,93.0
2012,Wind,,67.0
2012,Coal,,284.0
2012,Bagasse,,570.0
2012,Fuelwood,,0.0
2012,Total Alternative Energy,,1014.0
2012,Total,,20294.0
2012,% Renewable Share,,5.0
2013,Petroleum,,19183.0
2013,Hydropower,,77.0
2013,Wind,,71.0
2013,Coal,,450.0
2013,Bagasse,,626.0
2013,Fuelwood,,0.0
2013,Total Alternative Energy,,1224.0
2013,Total,,20407.0
2013,% Renewable Share,,6.0
2014,Petroleum,,18645.0
2014,Hydropower,,84.0
2014,Wind,,74.0
2014,Coal,,574.0
2014,Bagasse,,677.0
2014,Fuelwood,,0.0
2014,Total Alternative Energy,,1409.0
2014,Total,,20054.0
2014,% Renewable Share,,7.0
2015,Petroleum,,19079.0
2015,Hydropower,,80.0
2015,Wind,,78.0
2015,Coal,,511.0
2015,Bagasse,,621.0
2015,Fuelwood,,0.0
2015,Total Alternative Energy,,1290.0
2015,Total,,20369.0
2015,% Renewable Share,,6.3
2016,Petroleum,,19316.0
2016,Hydropower,,74.0
2016,Wind,,118.0
2016,Coal,,491.0
2016,Bagasse,,487.0
2016,Natural Gas,,0.0
2016,Solar,('000 boe),8.0
2016,Total Alternative Energy,('000 boe),1178.0
2016,Total,('000 boe),20486.0
2017,% Renewable Share,('000 boe),5.7
2017,Petroleum,('000 boe),19409.0
2017,Hydropower,('000 boe),96.0
2017,Wind,('000 boe),179.0
2017,Coal,('000 boe),425.0
2017,Bagasse,('000 boe),334.0
2017,Natural Gas,('000 boe),508.0
2017,Solar,('000 boe),27.0
2017,Total Alternative Energy,('000 boe),1569.0
2017,Total,('000 boe),20978.0
2017,% Renewable Share,('000 boe),7.5
2018,Petroleum,('000 boe),19061.0
2018,Hydropower,('000 boe),111.0
2018,Wind,('000 boe),187.0
2018,Coal,('000 boe),398.0
2018,Bagasse,('000 boe),265.0
2018,Natural Gas,('000 boe),587.0
2018,Solar,('000 boe),28.0
2018,Total Alternative Energy,('000 boe),1577.0
2018,Total,('000 boe),20638.0
2018,% Renewable Share,('000 boe),7.6
2011,Petroleum,('000 boe),19807.0
2011,Hydropower,('000 boe),94.0
2011,Wind,('000 boe),57.0
2011,Coal,('000 boe),327.0
2011,Bagasse,('000 boe),579.0
2011,Total Alternative Energy,('000 boe),1057.0
2011,Total,('000 boe),20864.0
2011,Per cent Renewable Share,(%),5.1
2012,Petroleum,('000 boe),19280.0
2012,Hydropower,('000 boe),93.0
2012,Wind,('000 boe),67.0
2012,Coal,('000 boe),284.0
2012,Bagasse,('000 boe),570.0
2012,Total Alternative Energy,('000 boe),1014.0
2012,Total,('000 boe),20294.0
2012,Per cent Renewable Share,(%),5.0
2013,Petroleum,('000 boe),19183.0
2013,Hydropower,('000 boe),77.0
2013,Wind,('000 boe),71.0
2013,Coal,('000 boe),450.0
2013,Bagasse,('000 boe),626.0
2013,Total Alternative Energy,('000 boe),1224.0
2013,Total,('000 boe),20407.0
2013,Per cent Renewable Share,(%),6.0
2014,Petroleum,('000 boe),18645.0
2014,Hydropower,('000 boe),84.0
2014,Wind,('000 boe),74.0
2014,Coal,('000 boe),574.0
2014,Bagasse,('000 boe),677.0
2014,Total Alternative Energy,('000 boe),1409.0
2014,Total,('000 boe),20054.0
2014,Per cent Renewable Share,(%),7.0
2015,Petroleum,('000 boe),19079.0
2015,Hydropower,('000 boe),80.0
2015,Wind,('000 boe),78.0
2015,Coal,('000 boe),511.0
2015,Bagasse,('000 boe),621.0
2015,Total Alternative Energy,('000 boe),1290.0
2015,Total,('000 boe),20369.0
