Value,Disaggregation combinations using this value,Number of indicators
Alumina,2,1
Bauxite,2,1
Clay,2,1
Gas Turbines & Combined Cycle Plant,1,1
Gypsum,2,1
Hydro,1,1
Limestone,2,1
Lossess & Accounted for ('000 MWh),1,1
Lossess & Accounted for,1,1
Marl and Fill,2,1
Percentage Contribution of IIPs,1,1
Percentage Contribution of Jamaica Public Service Company (JPSCo),1,1
Pozzolan,2,1
Purchase from Independent Power Producers (IIPs),1,1
Purchase from Independent Power Producers (IIPs) ,1,1
Sand and Gravel,2,1
Shale,2,1
Silica Sand,2,1
Steam & Slow Speed Plants,1,1
System losses as a percentage of net generation,1,1
Total,1,1
