Value,Disaggregation combinations using this value,Number of indicators
%,30,5
('000 boe),10,1
('000 Mwh),7,1
('000 MWh),1,1
('000 tonnes),3,2
('000 Tonnes),10,1
('000boe),8,1
(1000 ha),3,1
14.0,1,1
14.4,1,1
14.8,1,1
(%),62,8
(Area %),1,1
(area %),1,1
Cumulative Mean Beach Width (m),9,1
Density (per 10.000 population),11,1
(Health Index),16,1
Hectares,11,1
(J$ Million),12,3
(km2 '000),1,1
(km2 ‘000),1,1
Land Area ( ha),10,1
Marine Area (ha),6,1
(Maternal Mortality Ratio),1,1
(Million Tonnes),1,1
($ Million),6,1
(Neonatal Mortality Ratio),1,1
Number of Sites,9,1
Number,17,2
per 100 000 population,18,1
(per 100 inhabitants),1,1
per 100.000 adults,2,1
(per 100.000 population),27,1
per 100.000 population,16,2
(Per cent),5,2
(per cent),3,1
Per cent,1,1
per cent,1,1
(Proportion of Births),1,1
Score,13,1
(Tonnes),10,1
Tonnes,6,1
Total Volume of Waste (tonnes),5,1
(Under five Mortality Ratio),1,1
(US$ Million),3,1
(US$M),3,1
(US$Mn),4,2
